president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,11/10/2017,37.11195,40.57419,33.6497,56.54761,61.41397,51.68124,17:38:22 10 Nov 2017
Donald Trump,All polls,11/10/2017,37.85893,42.279,33.43886,56.11641,60.87601,51.3568,17:38:16 10 Nov 2017
Donald Trump,Adults,11/9/2017,36.87565,40.35596,33.39534,57.20075,61.39975,53.00176,15:22:20  9 Nov 2017
Donald Trump,Voters,11/9/2017,38.82508,43.16136,34.4888,56.00803,60.37885,51.63721,15:22:24  9 Nov 2017
Donald Trump,All polls,11/9/2017,37.65916,42.07094,33.24738,56.5921,60.90161,52.28259,15:22:15  9 Nov 2017
Donald Trump,Adults,11/8/2017,36.9847,40.33656,33.63285,57.10672,61.39174,52.8217,15:28:21  8 Nov 2017
Donald Trump,Voters,11/8/2017,38.78871,42.96696,34.61046,56.07062,60.23169,51.90955,15:28:25  8 Nov 2017
Donald Trump,All polls,11/8/2017,37.58189,41.81385,33.34994,56.68189,60.93145,52.43234,15:28:15  8 Nov 2017
Donald Trump,Voters,11/7/2017,38.78378,43.07478,34.49278,56.08299,60.33978,51.8262,14:58:25  7 Nov 2017
Donald Trump,Adults,11/7/2017,36.89015,40.30651,33.47379,57.34779,61.59307,53.1025,14:58:21  7 Nov 2017
Donald Trump,All polls,11/7/2017,37.55069,41.86052,33.24086,56.80687,61.07893,52.53482,14:58:16  7 Nov 2017
Donald Trump,Voters,11/6/2017,38.76372,43.27574,34.25169,56.23228,60.76165,51.70292,17:50:28  6 Nov 2017
Donald Trump,Adults,11/6/2017,37.05696,40.61347,33.50045,57.29476,61.77695,52.81256,17:50:23  6 Nov 2017
Donald Trump,All polls,11/6/2017,37.69767,42.14056,33.25479,56.73272,61.18445,52.28099,17:50:18  6 Nov 2017
Donald Trump,Adults,11/5/2017,37.24062,40.8525,33.62873,57.23222,61.81281,52.65163,14:23:18  5 Nov 2017
Donald Trump,Voters,11/5/2017,38.76653,43.22218,34.31088,56.29507,60.87656,51.71358,14:23:23  5 Nov 2017
Donald Trump,All polls,11/5/2017,37.78851,42.21611,33.3609,56.69604,61.22639,52.16568,14:23:13  5 Nov 2017
Donald Trump,Voters,11/4/2017,38.97559,43.54144,34.40973,55.98032,60.71075,51.24989,13:05:26  4 Nov 2017
Donald Trump,Adults,11/4/2017,37.28839,41.04158,33.5352,57.03854,61.75187,52.32521,13:05:21  4 Nov 2017
