date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
1921-11-27,1921,0,,CHI,GB,1598.148,1444.976,0.77831933351256,0.22168066648744,1610.429,1432.696,20,0
1921-12-03,1921,0,,NG1,CTI,1291.514,1458.597,0.35717722313366984,0.6428227768663302,1271.782,1478.329,0,17
1921-12-03,1921,0,,BFF,AKR,1630.21,1629.807,0.5930262390624423,0.40697376093755766,1651.616,1608.401,14,0
1921-12-04,1921,0,,CHI,BFF,1610.429,1651.616,0.5342161002399493,0.46578389976005075,1623.205,1638.84,10,7
1921-12-04,1921,0,,LOU,COL,1377.857,1327.393,0.6603073595766215,0.33969264042337854,1350.735,1354.515,0,6
1921-12-04,1921,0,,ARI,AKR,1493.895,1608.401,0.42923342414719035,0.5707665758528097,1476.436,1625.86,0,7
1921-12-11,1921,0,,SEN,CTI,1289.713,1478.329,0.32924740542392955,0.6707525945760704,1319.27,1448.772,7,0
1921-12-11,1921,0,,CHI,CBD,1623.205,1610.384,0.610157351844411,0.389842648155589,1641.262,1592.326,10,0
1921-12-18,1921,0,,CHI,ARI,1641.262,1476.436,0.7896778714848912,0.21032212851510879,1632.427,1485.271,0,0
1921-12-18,1921,0,,SEN,CBD,1319.27,1592.326,0.23189057362491483,0.7681094263750852,1307.796,1603.801,14,28
1922-10-01,1922,0,,TOL,ECG,1504.938,1422.188,0.7006756611079398,0.2993243388920602,1520.492,1406.634,15,0
1922-10-01,1922,0,,RII,GB,1538.64,1456.797,0.6995794950978008,0.3004205049021992,1548.732,1446.705,19,14
1922-10-01,1922,0,,CBD,LOU,1570.867,1402.157,0.7933672072168062,0.2066327927831938,1584.553,1388.471,38,0
1922-10-01,1922,0,,ARI,MIL,1491.847,1300.0,0.8143504709461228,0.18564952905387722,1496.457,1295.391,3,0
1922-10-01,1922,0,,DAY,OOR,1509.485,1300.0,0.8292133938374656,0.17078660616253438,1520.451,1289.034,36,0
1922-10-01,1922,0,,BFF,HAM,1594.227,1430.693,0.7884399650790559,0.2115600349209441,1602.197,1422.723,7,0
1922-10-01,1922,0,,RAC,CHI,1493.002,1589.952,0.45414942697818933,0.5458505730218106,1475.58,1607.373,0,6
1922-10-01,1922,0,,AKR,COL,1585.573,1404.677,0.8046305992859485,0.1953694007140515,1598.264,1391.986,36,0
1922-10-08,1922,0,,TOL,MIL,1520.492,1295.391,0.841569900746951,0.15843009925304896,1510.074,1305.808,12,12
1922-10-08,1922,0,,OOR,COL,1289.034,1391.986,0.44559888476972825,0.5544011152302717,1319.588,1361.432,20,6
1922-10-08,1922,0,,RII,CHI,1548.732,1607.373,0.509150314903685,0.490849685096315,1532.295,1623.81,6,10
1922-10-08,1922,0,,DAY,CBD,1520.451,1584.553,0.5012923230056885,0.4987076769943115,1520.411,1584.593,0,0
1922-10-08,1922,0,,GB,RAC,1446.705,1475.58,0.5518015125380423,0.4481984874619577,1428.647,1493.638,6,10
1922-10-12,1922,0,,AKR,RCH,1598.264,1488.89,0.7318006183986098,0.26819938160139023,1591.194,1495.96,13,13
1922-10-15,1922,0,,ARI,GB,1496.457,1428.647,0.682333362268822,0.317666637731178,1512.269,1412.835,16,3
1922-10-15,1922,0,,RII,ECG,1532.295,1406.634,0.7497975677153701,0.2502024322846299,1551.226,1387.704,60,0
1922-10-15,1922,0,,TOL,HAM,1510.074,1422.723,0.7062007539879077,0.2937992460120923,1524.956,1407.841,14,0
1922-10-15,1922,0,,CHI,RCH,1623.81,1495.96,0.7521540621303711,0.24784593786962894,1633.287,1486.483,7,0
1922-10-15,1922,0,,MIL,RAC,1305.808,1493.638,0.3302474005493661,0.6697525994506339,1349.001,1450.445,20,0
1922-10-15,1922,0,,CBD,OOR,1584.593,1319.588,0.8698532075145711,0.13014679248542893,1590.722,1313.459,14,0
1922-10-15,1922,0,,DAY,MNN,1520.411,1484.992,0.6406204830631833,0.3593795169368167,1540.279,1465.124,17,0
1922-10-15,1922,0,,BFF,COL,1602.197,1361.432,0.8532252932591823,0.14677470674081772,1609.918,1353.711,19,0
1922-10-22,1922,0,,ARI,MNN,1512.269,1465.124,0.6560088869466268,0.34399111305337315,1521.344,1456.049,3,0
1922-10-22,1922,0,,DAY,HAM,1540.279,1407.841,0.7570446382383244,0.24295536176167565,1553.854,1394.265,20,0
1922-10-22,1922,0,,RAC,TOL,1450.445,1524.956,0.4863159887549924,0.5136840112450076,1430.307,1545.095,0,7
1922-10-22,1922,0,,MIL,GB,1349.001,1412.835,0.5016780025868239,0.49832199741317607,1348.95,1412.886,0,0
1922-10-22,1922,0,,CHI,BFF,1633.287,1609.918,0.6244999992602788,0.37550000073972123,1648.3,1594.904,7,0
1922-10-22,1922,0,,AKR,CBD,1591.194,1590.722,0.5931220972150324,0.4068779027849676,1552.859,1629.058,0,22
1922-10-22,1922,0,,RII,RCH,1551.226,1486.483,0.6784942866628162,0.3215057133371838,1571.238,1466.471,26,0
1922-10-29,1922,0,,AKR,OOR,1552.859,1313.459,0.8522385410489223,0.14776145895107773,1563.615,1302.703,62,0
1922-10-29,1922,0,,MIL,HAM,1348.95,1394.265,0.528298717872614,0.47170128212738605,1348.087,1395.128,0,0
1922-10-29,1922,0,,CHI,CBD,1648.3,1629.058,0.618912744208407,0.38108725579159297,1639.378,1637.979,6,7
1922-10-29,1922,0,,DAY,BFF,1553.854,1594.904,0.5344123304950869,0.46558766950491315,1531.384,1617.375,0,7
1922-10-29,1922,0,,ARI,COL,1521.344,1353.711,0.7923490048352182,0.2076509951647818,1534.361,1340.694,37,6
1922-10-29,1922,0,,GB,RII,1412.886,1571.238,0.3687978976712825,0.6312021023287175,1416.887,1567.237,0,0
1922-10-29,1922,0,,RAC,RCH,1430.307,1466.471,0.5414033152617352,0.45859668473826476,1451.153,1445.625,9,0
1922-10-29,1922,0,,TOL,LOU,1545.095,1388.471,0.781728927222911,0.21827107277708901,1559.724,1373.841,39,0
1922-11-05,1922,0,,CHI,DAY,1639.378,1531.384,0.7302386095516578,0.26976139044834224,1650.896,1519.867,9,0
1922-11-05,1922,0,,AKR,HAM,1563.615,1395.128,0.7931566851743536,0.20684331482564644,1575.341,1383.402,22,0
1922-11-05,1922,0,,RAC,LOU,1451.153,1373.841,0.6940694101332828,0.3059305898667172,1474.488,1350.506,57,0
1922-11-05,1922,0,,MNN,OOR,1456.049,1302.703,0.7784921039744471,0.22150789602555288,1464.43,1294.323,13,6
1922-11-05,1922,0,,CBD,TOL,1637.979,1559.724,0.6952208330133459,0.3047791669866541,1632.025,1565.678,0,0
1922-11-05,1922,0,,ARI,BFF,1534.361,1617.375,0.47409897551251096,0.5259010244874891,1546.011,1605.724,9,7
1922-11-05,1922,0,,GB,COL,1416.887,1340.694,0.6926999375652645,0.3073000624347355,1424.894,1332.688,3,0
1922-11-11,1922,0,,RAC,COL,1474.488,1332.688,0.7668191215788603,0.23318087842113966,1489.644,1317.532,34,0
1922-11-12,1922,0,,GB,MNN,1424.894,1464.43,0.536580167040733,0.46341983295926703,1445.025,1444.298,14,6
1922-11-12,1922,0,,ARI,AKR,1546.011,1575.341,0.551153655699912,0.44884634430008796,1564.38,1556.972,7,0
